NO,source_id,source_name,source_url,description_mode,license_id,rights_holder,attribution_text,evidence_url,verified_at,rights_status,similarity_check,privacy_mode
WEB08fbbe1a1b,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/9ac18af8-065b-480b-8d64-58819f372879,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB58e6e1531f,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/89502a61-ee49-47c7-b311-31e3253d0cff,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBb9d8f0ff57,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/e1361d42-273f-44ee-9b43-96f1c9f28d5f,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB7910f6a52d,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/49fee794-7626-4ec1-9aeb-f70903ddb25d,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB0c24952ab3,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/eb9e2e1e-a44d-4bad-b16d-ee2eaf0293a9,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBdfc284d772,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/cb6a1eb8-6f75-4349-b8b5-4e8f3cdcb2ed,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB21c0a9d674,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/d86fc174-9a26-4ece-97bf-0502f1af1cd1,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB4a2b3fa2cc,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/f0bdc3bd-db34-43e8-b0c6-31b5c82010dd,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB1b5c7c0cb9,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/d4f23df1-3ebf-45c8-9e03-2f9de056e63f,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB1d214da4e2,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/9dade1d4-33c7-4432-a897-c7f7ecc5246d,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB4311eb0c32,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/07534881-7306-4541-8005-adaff54fc9f7,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB566e0d8ab3,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/335a309d-7389-4470-8f98-ea1b269a89f3,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB4b47739adb,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/2c2f1d0f-2771-4847-a84d-e0bcc28a35bd,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB670e7e8531,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/cbb3a1db-0c58-4b4a-9ef0-b49ed2d48699,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB5ee54f5b8e,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/d157783a-bd2c-4052-b02e-abeaea16d394,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB34e526f757,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/a49b08ae-aa52-4a68-b6c4-f29033b6e6e8,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBd14e877958,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/c570f055-5fc3-46f9-8894-5ae02ab82492,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB8efde57724,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/842156ab-a6dd-4de2-8b66-bf83b4f95051,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBf95db10bb1,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/42a09df6-770e-435d-a0d5-f886c46c86ab,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB6ac1910b56,src_f031c8f284f05a57,イオンモール浜松志都呂,https://hamamatsushitoro.aeonmall.jp/event/30d4bae9-4f08-4750-9864-91ed5e36ce96,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB3b471ba05b,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e88788_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB4667315198,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e81390_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB85807c0b38,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e79902_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
